feature,coefficient,abs_coefficient
ngram_269,7.281683609664043,7.281683609664043
ngram_475,6.023249031285143,6.023249031285143
ngram_413,5.100801673410407,5.100801673410407
ngram_72,4.489246128794303,4.489246128794303
keyword_bet,4.363649024188698,4.363649024188698
ngram_125,4.24479458982407,4.24479458982407
ngram_147,-4.218724179410416,4.218724179410416
ngram_46,3.789812115944729,3.789812115944729
ngram_37,-3.7528591733421206,3.7528591733421206
ngram_27,-3.744326988185478,3.744326988185478
ngram_26,-3.5511362192413993,3.5511362192413993
ngram_53,3.5419534558054826,3.5419534558054826
keyword_juego,-3.4939446831805476,3.4939446831805476
ngram_258,3.4910269735885633,3.4910269735885633
keyword_casino,3.4811322141740844,3.4811322141740844
ngram_488,3.406634305247088,3.406634305247088
ngram_273,3.399394757502223,3.399394757502223
ngram_195,3.3784611934678828,3.3784611934678828
ngram_135,3.110633068359042,3.110633068359042
total_keyword_count,3.070193143403671,3.070193143403671
