feature,importance
has_gambling_keyword,0.12252472774862017
total_keyword_count,0.11051300231712169
ngram_218,0.08649123750664446
ngram_301,0.05277103902977606
ngram_86,0.05045331689640334
keyword_casino,0.04048648725201881
ngram_107,0.038651694250820906
ngram_409,0.03036882183019404
ngram_213,0.029913842816207376
ngram_106,0.028552356735939997
ngram_408,0.021815113907754414
keyword_bet,0.017656897637827795
digit_count,0.017575796021722784
domain_length,0.016010474183648055
digit_letter_ratio,0.01572177633802576
ngram_85,0.013397346833754294
ngram_98,0.011618069301940304
ngram_302,0.010002722497090909
has_digits,0.009228106580455024
ngram_97,0.008943478731217352
